,Location,Rank,University
337,Coimbatore,670,Karpagam Academy of Higher Education
338,Coimbatore,92,Karunya University
339,Nagpur,512,Kavi Kulguru Kalidas Sanskrit Vishwavidyalaya
340,Asansol,603,Kazi Nazrul University
341,Thrissur ...,91,Kerala Agricultural University
342,Cheruthuruthi,506,Kerala Kalamandalam
343,Kochi,482,Kerala University of Fisheries and Ocean Studies
344,Thrissur,412,Kerala University of Health Sciences
345,Pookode,379,Kerala Veterinary and Animal Sciences University
346,Lucknow,705,"Khwaja Moinuddin Chishti Urdu, Arabi-Farsi University"
347,Bhubaneswar,72,KIIT University
348,Lucknow,173,King George's Medical University
349,Belgaum ...,419,KLE University
350,Chaibasa,505,Kolhan University
351,Bhuj,423,Krantiguru Shyamji Krishna Verma Kachchh University
352,Karad,545,Krishna Institute of Medical Sciences
353,Machilipatnam,351,Krishna University
354,Mysore,730,KSGH Music and Performing Arts University
355,Nalbari,725,Kumar Bhaskar Varma Sanskrit And Ancient Studies University
356,Nainital,302,Kumaun University
357,Kurukshetra ...,46,Kurukshetra University
358,Raipur,662,Kushabhau Thakre Patrakarita Avam Jansanchar University
359,Shimoga,324,Kuvempu University
360,Gwalior,489,Lakshmibai National Institute of Physical Education
361,Ahmedabad,739,Lakulish Yoga University
362,Hisar,494,Lala Lajpat Rai University of Veterinary and Animal Sciences
363,Darbhanga,328,Lalit Narayan Mithila University
364,Faridabad,558,Lingaya's University
365,Phagwara,9,Lovely Professional University
366,Bangalore,446,M.S. Ramaiah University of Applied Sciences
367,Gorakhpur,266,Madan Mohan Malaviya University of Technology
368,Pindwara,693,Madhav University
369,Madurai,177,Madurai Kamaraj University
370,Bodh Gaya,308,Magadh University
371,Nagaon,728,Mahapurusha Srimanta Sankaradeva Viswavidyalaya
372,Baddi,698,Maharaja Agrasen University
373,Chhatarpur,700,Maharaja Chhatrasal Bundelkhand University
374,Bikaner,221,Maharaja Ganga Singh University
375,Bhavnagar,278,Maharaja Krishnakumarsinhji Bhavnagar University
376,Bathinda,633,Maharaja Ranjit Singh Punjab Technical University
377,Bharatpur,638,Maharaja Surajmal Brij University
378,Udaipur,397,Maharana Pratap University of Agriculture and Technology
379,Nagpur,418,Maharashtra Animal and Fishery Sciences University
380,Nashik,220,Maharashtra University of Health Sciences
381,Rohtak,71,Maharishi Dayanand University
382,Katni ...,570,Maharishi Mahesh Yogi Vedic Vishwavidyalaya
383,Mullana ...,227,"Maharishi Markandeshwar University, Mullana"
384,Ambala ...,673,"Maharishi Markandeshwar University, Sadopur"
385,Solan,665,"Maharishi Markandeshwar University, Solan"
386,Bilaspur ...,661,Maharishi University of Management and Technology
387,Ajmer,380,Maharshi Dayanand Saraswati University
388,Ujjain,606,Maharshi Panini Sanskrit Vishwavidyalaya
389,Wardha,332,Mahatma Gandhi Antarrashtriya Hindi Vishwavidyalaya
390,Motihari,492,"Mahatma Gandhi Central University, Motihari"
391,Chitrakoot,642,Mahatma Gandhi Chitrakoot Gramoday Vishwavidyalaya
392,Varanasi ...,186,Mahatma Gandhi Kashi Vidyapeeth
393,Kottayam,45,Mahatma Gandhi University
394,Jaipur,659,Mahatma Gandhi University of Medical Sciences and Technology
395,Khanapara,367,"Mahatma Gandhi University, Meghalaya"
396,Nalgonda,507,"Mahatma Gandhi University, Nalgonda"
397,Jaipur,630,Mahatma Jyoti Rao Phoole University
398,Bareilly,117,Mahatma Jyotiba Phule Rohilkhand University
399,Rahuri,504,Mahatma Phule Krishi Vidyapeeth
400,Bhopal ...,292,Makhanlal Chaturvedi Rashtriya Patrakarita Vishwavidyalaya
401,Jaipur,97,"Malaviya National Institute of Technology, Jaipur"
402,Solan,522,Manav Bharti University
403,Aligarh,596,Mangalayatan University
404,Mangalore,153,Mangalore University
405,Manipal ...,21,Manipal University
406,Imphal,257,Manipur University
407,Tirunelveli,209,Manonmaniam Sundaranar University
408,Shillong,667,Martin Luther Christian University
409,Rajkot,716,Marwadi University
410,Aarang,583,MATS University
411,Kolkata,106,Maulana Abul Kalam Azad University of Technology
412,Bhopal,115,Maulana Azad National Institute of Technology
413,Hyderabad,210,Maulana Azad National Urdu University
414,Jodhpur,742,"Maulana Azad University, Jodhpur"
415,Patna,612,Maulana Mazharul Haque Arabic and Persian University
416,Chennai,658,Meenakshi Academy of Higher Education and Research
417,Chittorgarh,495,Mewar University
418,Navi Mumbai,529,MGM Institute of Health Sciences
419,Aizawl,230,Mizoram University
420,Lakshmangarh,404,Mody University
421,Rampur,689,Mohammad Ali Jauhar University
422,Udaipur,160,Mohanlal Sukhadia University
423,Hapur,740,Monad University
424,Kodaikanal,346,Mother Teresa Women's University
425,Bhagwanpur,732,Motherhood University
426,Allahabad,48,Motilal Nehru National Institute of Technology
427,Palwal,533,MVN University
428,Kohima,361,Nagaland University
429,Rajgir,304,Nalanda University
430,Hyderabad,280,NALSAR University of Law
431,Jabalpur,625,Nanaji Deshmukh Veterinary Science University
432,Faizabad,587,Narendra Dev University of Agriculture and Technology
433,Mumbai,62,Narsee Monjee Institute of Management and Higher Studies
434,Karnal ...,421,National Dairy Research Institute
435,Ahmedabad ...,68,National Institute of Design
436,New Delhi ...,86,National Institute of Fashion Technology
437,Sonipat,326,National Institute of Food Technology Entrepreneurship and Management
438,Bangalore,252,National Institute of Mental Health and Neuro Sciences
439,Ahmedabad,637,"National Institute of Pharmaceutical Education and Research, Ahmedabad"
440,Guwahati,706,"National Institute of Pharmaceutical Education and Research, Guwahati"
441,Hajipur,696,"National Institute of Pharmaceutical Education and Research, Hajipur"
442,Hyderabad,559,"National Institute of Pharmaceutical Education and Research, Hyderabad"
443,Kolkata,639,"National Institute of Pharmaceutical Education and Research, Kolkata"
444,Mohali,400,"National Institute of Pharmaceutical Education and Research, Mohali"
445,Rae Bareli,648,"National Institute of Pharmaceutical Education and Research, Rae Bareli"
446,Agartala,256,"National Institute of Technology, Agartala"
447,Yupia,359,"National Institute of Technology, Arunachal Pradesh"
448,Calicut,54,"National Institute of Technology, Calicut"
449,New Delhi,340,"National Institute of Technology, Delhi"
450,Durgapur,105,"National Institute of Technology, Durgapur"
451,Farmagudi,330,"National Institute of Technology, Goa"
452,Hamirpur,168,"National Institute of Technology, Hamirpur"
453,Jamshedpur,178,"National Institute of Technology, Jamshedpur"
454,Mangalore,61,"National Institute of Technology, Karnataka"
455,Kurukshetra,150,"National Institute of Technology, Kurukshetra"
456,Imphal,453,"National Institute of Technology, Manipur"
457,Shillong,277,"National Institute of Technology, Meghalaya"
458,Aizawl,410,"National Institute of Technology, Mizoram"
459,Dimapur,450,"National Institute of Technology, Nagaland"
460,Patna,162,"National Institute of Technology, Patna"
461,Karaikal,402,"National Institute of Technology, Puducherry"
462,Raipur,152,"National Institute of Technology, Raipur"
463,Rourkela,26,"National Institute of Technology, Rourkela"
464,Ravangla,424,"National Institute of Technology, Sikkim"
465,Silchar,138,"National Institute of Technology, Silchar"
466,Srinagar,322,"National Institute of Technology, Srinagar"
467,Tiruchirappalli,39,"National Institute of Technology, Tiruchirappalli"
468,Srinagar,436,"National Institute of Technology, Uttarakhand"
